Onset,Offset
219.534,219.634
220.0,220.034
220.2,220.267
220.367,220.434
221.5,221.534
224.6,224.634
227.9,227.934
230.3,230.334
230.767,230.834
232.867,232.934
234.967,235.0
237.234,237.267
238.467,238.567
239.034,239.067
239.534,239.6
243.034,243.134
243.267,243.534
243.834,243.967
244.834,244.934
246.267,246.3
246.7,246.734
247.034,247.1
249.067,249.1
249.7,249.734
252.134,252.2
254.767,254.867
255.934,256.067
260.2,260.234
260.434,260.534
260.934,261.0
261.2,261.267
261.534,261.667
262.834,263.134
263.867,263.934
272.1,272.134
272.467,272.5
273.5,273.534
273.7,273.8
273.967,274.067
274.267,274.3
275.667,275.734
275.867,275.934
276.167,276.2
277.667,277.8
278.9,278.934
279.767,279.834
280.167,280.2
280.967,281.0
283.167,283.2
284.4,284.434
285.134,285.167
288.334,288.434
289.267,289.4
289.5,289.767
291.0,291.067
291.267,291.3
291.534,291.7
291.9,292.2
292.3,292.734
292.834,293.567
293.7,294.5
294.634,294.767
294.867,295.467
295.6,295.9
296.034,296.334
296.467,296.7
297.167,297.4
298.434,298.667
299.034,299.1
300.6,300.634
302.3,302.4
303.034,303.067
304.534,304.634
304.9,304.934
305.067,305.134
305.267,305.334
305.5,305.6
306.534,306.567
308.534,308.567
308.734,308.767
309.367,309.434
313.034,313.067
313.534,313.567
315.434,315.467
316.734,316.8
318.367,318.4
319.467,319.534
319.634,319.667
319.834,319.9
320.0,320.034
324.067,324.1
324.167,324.2
325.534,325.567
326.134,326.534
326.667,326.7
331.467,331.534
331.6,331.634
333.634,333.734
333.9,333.934
335.067,335.1
336.567,336.7
336.834,336.867
336.934,337.034
337.167,337.367
337.7,337.734
337.8,337.867
341.1,341.134
353.967,354.034
355.3,355.334
361.667,361.7
362.8,362.834
364.634,364.667
365.367,365.434
367.1,367.134
367.3,367.334
368.6,368.667
368.9,369.034
369.634,369.7
371.9,371.934
372.534,372.567
372.8,372.9
373.067,373.1
373.234,373.3
374.8,374.867
376.767,376.867
380.434,380.467
380.934,381.034
383.034,383.067
389.9,389.934
390.8,390.934
392.3,392.334
394.3,394.334
396.067,396.134
396.8,396.867
397.067,397.134
398.334,398.467
398.567,398.6
398.9,399.0
399.667,399.734
399.867,400.0
400.4,400.434
400.667,400.7
402.2,402.267
406.167,406.2
406.367,406.4
406.867,406.934
408.334,408.4
408.867,408.9
410.2,410.4
411.034,411.067
411.667,411.7
418.367,418.467
419.267,419.3
421.1,421.234
421.334,421.7
421.767,421.934
423.534,423.6
426.534,426.567
427.867,427.9
432.0,432.034
434.367,434.4
437.634,437.667
438.467,438.667
438.8,438.934
439.134,439.3
440.2,440.234
440.367,440.467
440.567,440.6
440.767,440.8
441.0,441.034
441.234,441.534
441.6,441.8
441.9,442.034
442.1,442.167
442.334,442.367
442.434,442.467
442.834,443.1
443.267,443.367
443.734,443.767
445.967,446.034
451.2,451.234
451.834,451.934
452.734,452.834
463.467,463.534
468.634,468.667
476.167,476.2
478.434,478.6
479.034,479.1
479.3,479.334
479.4,479.467
479.534,479.6
479.767,479.867
480.267,480.367
480.467,480.5
480.767,480.867
481.134,481.167
481.767,482.034
482.367,482.434
482.934,483.034
483.234,483.467
483.734,483.767
483.9,483.934
485.134,485.2
486.4,486.434
486.6,486.634
491.1,491.134
491.334,491.367
491.567,491.6
491.767,491.9
492.234,492.6
492.967,493.0
493.1,493.234
493.367,493.434
495.967,496.434
496.5,496.534
496.734,496.767
497.134,497.234
498.0,498.067
499.6,499.667
499.967,500.0
502.234,502.267
502.667,502.7
503.367,503.434
504.267,504.3
504.467,504.5
505.034,505.067
505.9,506.167
506.6,506.767
507.234,507.267
508.2,508.267
508.8,509.034
509.234,509.267
511.834,511.867
512.6,512.634
513.267,513.467
515.467,515.5
515.6,515.667
515.867,515.9
516.9,516.967
518.6,518.7
519.267,519.3
519.467,519.534
519.7,519.8
520.367,520.467
520.634,520.7
521.134,521.2
523.234,523.267
525.034,525.1
525.2,525.267
526.267,526.3
526.967,527.0
527.134,527.167
527.534,527.667
528.067,528.1
528.167,528.2
528.267,528.334
528.7,528.8
529.467,529.634
530.467,530.567
530.734,530.767
531.634,531.7
531.8,531.867
531.934,531.967
532.167,532.234
532.3,532.467
532.6,532.634
533.267,533.3
535.1,535.134
535.367,535.4
535.7,535.767
535.867,535.934
536.067,536.1
538.067,538.1
539.6,539.634
541.434,541.5
546.2,546.234
547.067,547.3
547.9,548.134
548.3,548.334
551.534,551.567
552.334,552.4
554.134,554.167
554.4,554.434
557.067,557.1
558.6,558.667
560.467,560.5
563.3,563.334
563.634,563.7
564.567,564.6
564.967,565.034
566.2,566.3
566.7,566.734
566.867,566.9
566.967,567.067
568.467,568.9
569.9,569.934
570.967,571.034
571.534,571.567
571.634,571.667
572.034,572.067
572.134,572.2
572.967,573.734
573.9,574.134
574.267,574.667
574.767,575.167
575.267,575.334
575.834,575.9
576.034,576.367
576.467,576.567
578.3,578.334
579.867,579.9
581.334,581.367
585.134,585.2
585.9,585.934
586.2,586.367
590.267,590.334
591.0,591.067
593.7,593.734
593.967,594.0
594.067,594.1
595.267,595.467
596.0,596.1
596.4,596.434
596.567,596.634
597.067,597.134
597.3,597.4
597.5,597.634
597.767,597.867
598.0,598.134
598.234,598.267
598.9,598.967
599.334,599.367
599.7,600.167
600.367,600.634
600.8,600.9
601.367,601.734
602.834,602.867
603.067,603.134
603.267,603.334
603.4,603.467
606.467,606.5
606.634,606.667
606.767,606.8
607.434,607.467
609.767,609.8
609.9,609.934
610.2,610.234
610.967,611.034
612.567,612.634
613.167,613.234
613.667,613.7
614.034,614.067
615.167,615.2
617.6,617.767
618.667,618.967
619.134,619.167
619.234,619.267
619.434,619.467
619.834,620.1
621.2,621.234
621.534,621.6
624.534,624.634
625.4,625.534
628.767,629.2
630.034,630.067
631.767,631.8
632.034,632.067
634.8,634.834
638.434,638.467
639.634,639.667
639.834,639.934
640.8,640.834
646.434,646.5
649.2,649.234
657.0,657.1
658.034,658.1
659.367,659.467
662.034,662.167
664.434,664.634
664.767,664.8
664.867,665.0
666.367,666.467
666.567,666.834
670.1,670.2
670.434,670.5
670.734,670.867
671.9,671.934
672.034,672.134
672.734,673.0
676.034,676.067
679.2,679.234
682.6,682.634
682.734,682.8
683.4,683.467
684.934,684.967
685.167,685.234
686.967,687.0
688.9,689.0
689.967,690.034
690.2,690.234
690.534,690.6
691.4,691.434
691.667,691.7
692.0,692.067
692.167,692.234
692.3,692.367
692.567,692.634
692.834,692.867
692.934,693.1
696.934,696.967
697.134,697.167
697.6,697.634
697.7,697.767
702.034,702.134
702.4,702.467
702.834,702.9
703.3,703.367
704.234,704.267
706.467,706.567
707.634,707.667
707.834,707.867
707.967,708.0
708.234,708.3
708.6,708.634
714.734,714.767
715.9,716.234
716.8,716.834
716.9,716.967
717.134,717.2
718.534,718.567
718.667,718.834
720.767,720.8
720.867,721.034
721.434,721.5
722.0,722.067
722.8,722.834
722.934,722.967
723.234,723.267
723.334,723.367
723.467,723.534
723.834,723.9
723.967,724.0
724.567,724.6
725.1,725.167
726.167,726.2
731.367,731.4
731.934,731.967
733.034,733.067
733.267,733.334
734.7,734.734
734.834,734.867
734.967,735.0
735.934,735.967
737.5,737.567
737.634,737.734
738.034,738.234
738.5,738.667
738.734,739.167
739.3,739.467
739.734,739.967
740.067,740.234
740.5,740.634
741.367,741.434
741.6,741.867
742.234,742.3
743.367,743.467
743.834,743.9
744.4,744.467
745.334,745.4
746.267,746.3
749.967,750.0
752.367,752.4
752.6,752.734
752.834,752.867
754.7,754.834
756.267,756.3
756.967,757.0
758.434,758.467
759.0,759.034
759.867,759.9
760.1,760.2
760.334,760.367
760.7,760.767
760.934,761.2
761.5,761.534
761.7,761.867
762.134,762.167
763.2,763.367
764.7,764.734
765.634,765.667
765.834,765.867
766.067,766.1
767.8,767.834
768.034,768.067
769.134,769.334
772.767,772.8
772.867,773.0
773.134,773.634
773.734,773.767
773.834,773.9
774.2,774.367
775.634,775.667
780.3,780.334
780.634,780.667
780.8,780.834
786.5,786.534
